Club,Division,Nation of Club,Club Reputation
Yelets,Russian Third Division - Chernozemje,Russia,Local
Spartak-2-M,Russian Lower Division,Russia,Local
Textilschik-2,Russian Third Division - Golden Ring,Russia,Local
Lyubertsy,Russian Third Division - Moskovskaya oblast,Russia,Local
SSh #75,Russian Third Division - Moscow,Russia,Local
Dorozhnik Kamenka,Russian Third Division - Privolzhje,Russia,Local
Fakel Kirov,Russian Third Division - Golden Ring,Russia,Local
Electron VN,Russian Third Division - North-West,Russia,Local
Dinamo-Dagestan,Russian Third Division - South,Russia,Local
Metallurg Vyxa,Russian Lower Division,Russia,Local
Khimik Koryazhma,Russian Third Division - North-West,Russia,Local
Shakhter Prokopjevsk,Russian Lower Division,Russia,Local
Metallist Korolev,Russian Third Division - Moskovskaya oblast,Russia,Local
Kooperator,Russian Lower Division,Russia,Local
Shinnik-2,Russian Third Division - Golden Ring,Russia,Local
Olimp-SKOPA,Russian Third Division - Moskovskaya oblast,Russia,Local
Apatit,Russian Lower Division,Russia,Local
Khimik Rossosh,Russian Lower Division,Russia,Local
Letniy Dozhdik,Russian Third Division - Moscow,Russia,Local
Sportakademclub,Russian Third Division - Moscow,Russia,Obscure
Zarya Leninsk-Kuznetskiy,Russian Lower Division,Russia,Obscure
Magnit,Russian Lower Division,Russia,Obscure
Alania-2,Russian Second Division,Russia,Obscure
Baltika-BFU,Russian Second Division,Russia,Obscure
Mashinostroitel Kirov,Russian Lower Division,Russia,Obscure
Master-Saturn,Russian M-League,Russia,Obscure
Titan Klin,Russian Lower Division,Russia,Obscure
KamAZ-2,Russian Lower Division,Russia,Obscure
Lukhovitsy,Russian Lower Division,Russia,Obscure
Shakhter Peshelan',Russian Lower Division,Russia,Obscure
Olimp Fryazino,Russian Lower Division,Russia,Obscure
Lokomotiv-M,Russian Third Division - Moscow,Russia,Obscure
Karelia,Russian Lower Division,Russia,Obscure
Yenisey-M,Russian Third Division - Siberia,Russia,Obscure
DSI KnA,Russian Lower Division,Russia,Obscure
Belogorsk,Russian Third Division - Far East,Russia,Obscure
UOR Kaspiysk,Russian Third Division - South,Russia,Obscure
Saransk,Russian Second Division,Russia,Obscure
Vista Gelendzhik,Russian Regional Division - Krasnodarskiy Kray,Russia,Obscure
Krasava,Russian Second Division,Russia,Obscure
Dinamo Vladivostok,Russian Second Division,Russia,Obscure
Yenisey-2,Russian Second Division,Russia,Obscure
Kairat Moscow,Russian Second Division,Russia,Obscure
Istra (RUS),Russian Fourth Division - Podmoskovje,Russia,Obscure
Mordovia-M,Russian Third Division - Privolzhje,Russia,Obscure
Rodina-M,Russian Third Division - Moscow,Russia,Obscure
Polimer,Russian Third Division - Siberia,Russia,Obscure
Stolitsa,Russian Third Division - Moscow,Russia,Obscure
Volgar-M,Russian Third Division - South,Russia,Obscure
Avangard-M Kursk,Russian Third Division - Chernozemje,Russia,Obscure
Dinamo Kostroma,Russian Lower Division,Russia,Obscure
Akademia Futbola Tambov,Russian Third Division - Chernozemje,Russia,Obscure
SShOR Zvezda,Russian Third Division - Ural & West Siberia,Russia,Obscure
Buryatia,Russian Third Division - Siberia,Russia,Obscure
Vityaz GTU,Russian Lower Division,Russia,Obscure
Smena Moscow,Russian Third Division - Moscow,Russia,Obscure
Tobol Kurgan,Russian Third Division - Ural & West Siberia,Russia,Obscure
Tyumen-2,Russian Third Division - Ural & West Siberia,Russia,Obscure
Magas,Russian Lower Division,Russia,Obscure
Chuvashia,Russian Lower Division,Russia,Obscure
Shakhter Korkino,Russian Third Division - Ural & West Siberia,Russia,Obscure
Kemerovo,Russian Lower Division,Russia,Obscure
Dinamo-M Barnaul,Russian Third Division - Siberia,Russia,Obscure
Strogino-2,Russian M-League,Russia,Obscure
Rostov-2018,Russian Lower Division,Russia,Obscure
Sakhalinets,Russian Third Division - Moscow,Russia,Obscure
Spartak Tuimazy,Russian Second Division,Russia,Obscure
Tobol Tobolsk,Russian Third Division - Ural & West Siberia,Russia,Obscure
Burevestnik,Russian Lower Division,Russia,Obscure
Sokol-M,Russian Lower Division,Russia,Obscure
Irtysh-2 Omsk,Russian Third Division - Ural & West Siberia,Russia,Obscure
Nogliki,Russian Lower Division,Russia,Obscure
Uralan,Russian Third Division - South,Russia,Obscure
Saturn-2,Russian Third Division - Moskovskaya oblast,Russia,Obscure
Avtodor,Russian Lower Division,Russia,Obscure
Khasavyurt,Russian Lower Division,Russia,Obscure
Blagoveschensk,Russian Third Division - Far East,Russia,Obscure
Zenit-Izhevsk-M,Russian Third Division - Privolzhje,Russia,Obscure
Chita-M,Russian Third Division - Siberia,Russia,Obscure
Dongazdobycha,Russian Lower Division,Russia,Obscure
Kaluga-M,Russian Lower Division,Russia,Obscure
Chaika Yubileiny,Russian Lower Division,Russia,Obscure
Krylja Sovetov-CPF,Russian Lower Division,Russia,Obscure
Volga Saratov,Russian Lower Division,Russia,Obscure
Olimpik Novaya Usman,Russian Lower Division,Russia,Obscure
Dzerzhinsk-TS,Russian Lower Division,Russia,Obscure
Akhmat Khosi-Yurt,Russian Lower Division,Russia,Obscure
Stroitel Biysk,Russian Third Division - Siberia,Russia,Obscure
StavropolAgroSoyuz,Russian Lower Division,Russia,Obscure
Kraskovo,Russian Fourth Division - Podmoskovje,Russia,Obscure
Vulkan Moscow,Russian Lower Division,Russia,Obscure
Zorkiy-M,Russian Fourth Division - Podmoskovje,Russia,Obscure
Peresvet-2,Russian Third Division - Moskovskaya oblast,Russia,Obscure
Ilpar Iljinskiy,Russian Third Division - Ural & West Siberia,Russia,Obscure
Geraklion,Russian Third Division - Moscow,Russia,Obscure
Uralets,Russian Third Division - Ural & West Siberia,Russia,Obscure
Okean,Russian Third Division - Far East,Russia,Obscure
Iskra Smolensk,Russian Lower Division,Russia,Obscure
Vainakh,Russian Lower Division,Russia,Obscure
Balashikha,Russian Third Division - Moskovskaya oblast,Russia,Obscure
Nika Moscow,Russian Lower Division,Russia,Obscure
Lobnya,Russian Fourth Division - Podmoskovje,Russia,Obscure
Zenit Moscow,Russian Lower Division,Russia,Obscure
Favorit Vyborg,Russian Lower Division,Russia,Obscure
Syzran-2003-D,Russian Lower Division,Russia,Obscure
StArs KR,Russian Lower Division,Russia,Obscure
Meteor Balashikha,Russian Fourth Division - Podmoskovje,Russia,Obscure
GTS-M,Russian Lower Division,Russia,Obscure
TPF,Russian Lower Division,Russia,Obscure
Yunior SPb,Russian Lower Division,Russia,Obscure
Zenit-M Irkutsk,Russian Lower Division,Russia,Obscure
Zvezdochka,Russian Lower Division,Russia,Obscure
Keramik Balashikha,Russian Lower Division,Russia,Obscure
Kvant-2,Russian Lower Division,Russia,Obscure
Torpedo Rubtsovsk,Russian Third Division - Siberia,Russia,Obscure
Spartak-2 Nalchik,Russian Lower Division,Russia,Obscure
Bataisk,Russian Lower Division,Russia,Obscure
Fosforit,Russian Lower Division,Russia,Obscure
Sukhona,Russian Lower Division,Russia,Obscure
Volga-M Uljanovsk,Russian Third Division - Privolzhje,Russia,Obscure
Torpedo-M Moscow,Russian Lower Division,Russia,Obscure
Dinamo Cheboxary,Russian Lower Division,Russia,Obscure
Lupe o le Soaga,Samoan National League,Samoa,National
Kiwi,Samoan National League,Samoa,National
La Fiorita,San Marino League,San Marino,National
Tre Penne,San Marino League,San Marino,National
Folgore,San Marino League,San Marino,National
Tre Fiori,San Marino League,San Marino,National
Libertas,San Marino League,San Marino,National
Vaivase-Tai,Samoan National League,Samoa,National
Domagnano,San Marino League,San Marino,National
Murata,San Marino League,San Marino,National
Sp. Praia Cruz,São Tomé Division 1,São Tomé and Príncipe,National
Vaipuna,Samoan National League,Samoa,National
Vaitele-Uta,Samoan National League,Samoa,National
Pennarossa,San Marino League,San Marino,National
Agrosport Clube,São Tomé Division 1,São Tomé and Príncipe,National
Juvenes Dogana,San Marino League,San Marino,National
Fiorentino,San Marino League,San Marino,National
Vit. Riboque,São Tomé Division 1,São Tomé and Príncipe,National
Vaiusu,Samoan National League,Samoa,National
Cosmos,San Marino League,San Marino,National
Faetano,San Marino League,San Marino,National
Operários,Príncipe Division 1,São Tomé and Príncipe,National
Fa'atoia,Samoan National League,Samoa,National
Cailungo,San Marino League,San Marino,National
San Giovanni,San Marino League,San Marino,National
UDRA,São Tomé Division 1,São Tomé and Príncipe,National
Sogi,Samoan National League,Samoa,National
Lepea,Samoan Lower Division,Samoa,National
Togafu'afu'a,Samoan National League,Samoa,National
Andorinha SC,São Toméan Lower Divisions,São Tomé and Príncipe,National
Bairros Unidos,São Tomé Division 1,São Tomé and Príncipe,National
UD Correia,São Tomé Division 1,São Tomé and Príncipe,National
Sp. do Príncipe,Príncipe Division 1,São Tomé and Príncipe,National
Kê Morabeza,São Toméan Lower Divisions,São Tomé and Príncipe,National
Sundy,Príncipe Division 1,São Tomé and Príncipe,National
6 de Setembro,São Tomé Division 1,São Tomé and Príncipe,National
Moa'ula,Samoan Lower Division,Samoa,National
ASPSB,Saint Barthélemy Ligue,Saint Barthélemy,National
Sp. São Tomé,São Tomé Division 1,São Tomé and Príncipe,National
Moata'a,Samoan National League,Samoa,National
Inter Bom-Bom,São Toméan Lower Divisions,São Tomé and Príncipe,National
Aliança Nacional,São Tomé Division 1,São Tomé and Príncipe,National
Desportivo Guadalupe,São Tomé Division 1,São Tomé and Príncipe,National
Trindade FC,São Tomé Division 1,São Tomé and Príncipe,National
Lion of Judah,Samoan National League,Samoa,National
Santana FC,São Toméan Lower Divisions,São Tomé and Príncipe,National
UDAPB,Príncipe Division 1,São Tomé and Príncipe,National
Gustavia,Saint Barthélemy Ligue,Saint Barthélemy,National
1º de Maio (STP),Príncipe Division 1,São Tomé and Príncipe,National
Porto Real,Príncipe Division 1,São Tomé and Príncipe,National
Desportivo Palmar,São Tomé Division 1,São Tomé and Príncipe,National
Escola de São Tomé,São Toméan Lower Divisions,São Tomé and Príncipe,National
Folha Fede,São Tomé Division 1,São Tomé and Príncipe,National
ADIDAS SC,Samoan Lower Division,Samoa,National
FC Neves,São Toméan Lower Divisions,São Tomé and Príncipe,Regional
Vaimoso,-,Samoa,National
Faleasiu,Samoan Lower Division,Samoa,National
Lotopa,Samoan Lower Division,Samoa,National
Arawak,Saint Barthélemy Ligue,Saint Barthélemy,National
Cruz Vermelha,São Toméan Lower Divisions,São Tomé and Príncipe,Local
UDESCAI,São Toméan Lower Divisions,São Tomé and Príncipe,Local
Oque d'El Rei,São Toméan Lower Divisions,São Tomé and Príncipe,Local
Juba,São Toméan Lower Divisions,São Tomé and Príncipe,Local
Central Utd (SAM),Samoan Lower Division,Samoa,National
Apia Youth,-,Samoa,National
One Way Win,-,Samoa,National
Cruz Azul (SAM),-,Samoa,National
Diables Rouges,Saint Barthélemy Ligue,Saint Barthélemy,National
Team FWI,Saint Barthélemy Ligue,Saint Barthélemy,National
ASCCO,Saint Barthélemy Other Teams,Saint Barthélemy,National
Santa Margarida,São Toméan Lower Divisions,São Tomé and Príncipe,Local
Saleimoa,-,Samoa,National
Alamagoto,-,Samoa,National
Vaigaga,-,Samoa,National
AJOE Lorient,Saint Barthélemy Other Teams,Saint Barthélemy,National
FAMA,-,São Tomé and Príncipe,Local
Vailele,-,Samoa,Regional
Titavi,-,Samoa,Obscure
Moamoa,-,Samoa,Obscure
Sinamoga,-,Samoa,Obscure
Vaiala,-,Samoa,Obscure
Tuanaimoto Br.,-,Samoa,Obscure
Leauvaa,-,Samoa,Obscure
Siusega,-,Samoa,Obscure
Celtic,cinch Premiership,Scotland,National
Rangers,cinch Premiership,Scotland,National
Al-Hilal (KSA),Saudi Professional League,Saudi Arabia,Continental
Aberdeen,cinch Premiership,Scotland,National
Al-Ahli (KSA),Saudi Professional League,Saudi Arabia,Continental
Hearts,cinch Premiership,Scotland,National
Hibernian,cinch Premiership,Scotland,National
Al-Nassr (KSA),Saudi Professional League,Saudi Arabia,Continental
Dundee Utd,cinch Premiership,Scotland,National
Al-Shabab (KSA),Saudi Professional League,Saudi Arabia,National
St. Johnstone,cinch Premiership,Scotland,National
Motherwell,cinch Premiership,Scotland,National
Dundee,cinch Premiership,Scotland,National
St. Mirren,cinch Premiership,Scotland,National
Inverness CT,cinch Championship,Scotland,National
Kilmarnock,cinch Championship,Scotland,National
Livingston,cinch Premiership,Scotland,National
Ross County,cinch Premiership,Scotland,National
Al-Taawoun,Saudi Professional League,Saudi Arabia,National
Al-Faisaly (KSA),Saudi Professional League,Saudi Arabia,National
Dunfermline,cinch Championship,Scotland,National
Al-Fateh,Saudi Professional League,Saudi Arabia,National
Partick Thistle,cinch Championship,Scotland,National
Ayr,cinch Championship,Scotland,National
Morton,cinch Championship,Scotland,National
Raith,cinch Championship,Scotland,National
Al-Ettifaq,Saudi Professional League,Saudi Arabia,National
Hamilton,cinch Championship,Scotland,National
Falkirk,cinch League 1,Scotland,National
Queen of Sth,cinch Championship,Scotland,National
Al-Qadsiah,Saudi First Division,Saudi Arabia,National
Arbroath,cinch Championship,Scotland,National
Al-Fayha,Saudi Professional League,Saudi Arabia,National
Al-Batin,Saudi Professional League,Saudi Arabia,National
Airdrie,cinch League 1,Scotland,National
Al-Ra'ed,Saudi Professional League,Saudi Arabia,National
Hajer,Saudi First Division,Saudi Arabia,National
Al-Wehda,Saudi First Division,Saudi Arabia,National
Ohod,Saudi First Division,Saudi Arabia,National
Cove Rangers,cinch League 1,Scotland,National
Queen's Park,cinch League 1,Scotland,National
Al-Khaleej (KSA),Saudi First Division,Saudi Arabia,National
Al-Hazem,Saudi Professional League,Saudi Arabia,National
Alloa,cinch League 1,Scotland,National
Al-Ta'ee,Saudi Professional League,Saudi Arabia,National
Clyde,cinch League 1,Scotland,National
Montrose,cinch League 1,Scotland,National
Al-Kawkab,Saudi First Division,Saudi Arabia,National
Dumbarton,cinch League 1,Scotland,National
Al-Shoulla,Saudi First Division,Saudi Arabia,National
Al-Orobah,Saudi First Division,Saudi Arabia,National
East Fife,cinch League 1,Scotland,National
Peterhead,cinch League 1,Scotland,National
Kelty Hearts,cinch League 2,Scotland,National
Al-Qaisumah,Saudi Second Division Group B,Saudi Arabia,National
Damac,Saudi Professional League,Saudi Arabia,National
Forfar,cinch League 2,Scotland,Regional
Brora Rangers,Highland-Lowland Leagues,Scotland,Regional
Edinburgh City,cinch League 2,Scotland,Regional
Al-Mujazzal,Saudi Lower Division,Saudi Arabia,National
Al-Nojoom,Saudi Second Division Group A,Saudi Arabia,National
Annan,cinch League 2,Scotland,Regional
Cowdenbeath,cinch League 2,Scotland,Regional
Elgin City,cinch League 2,Scotland,Regional
Stenhousemuir,cinch League 2,Scotland,Regional
Stirling,cinch League 2,Scotland,Regional
Stranraer,cinch League 2,Scotland,Regional
East Kilbride,Highland-Lowland Leagues,Scotland,Regional
Al-Jeel,Saudi First Division,Saudi Arabia,National
Najran,Saudi First Division,Saudi Arabia,National
Al-Adalah,Saudi First Division,Saudi Arabia,National
Al-Watani,Saudi Third Division Group D,Saudi Arabia,National
Al-Washam,Saudi Second Division Group A,Saudi Arabia,National
Berwick,Highland-Lowland Leagues,Scotland,Regional
Brechin,Highland-Lowland Leagues,Scotland,Regional
East Stirlingshire,Highland-Lowland Leagues,Scotland,Regional
Spartans,Highland-Lowland Leagues,Scotland,Regional
Al-Jabalain,Saudi First Division,Saudi Arabia,National
Formartine,Highland-Lowland Leagues,Scotland,Regional
Rangers B,Highland-Lowland Leagues,Scotland,Regional
Celtic B,Highland-Lowland Leagues,Scotland,Regional
Weg,Saudi Second Division Group A,Saudi Arabia,National
Jeddah,Saudi First Division,Saudi Arabia,National
Al-Diriyah,Saudi First Division,Saudi Arabia,National
Abha,Saudi Professional League,Saudi Arabia,National
Inverurie Locos,Highland-Lowland Leagues,Scotland,Regional
Al-Ain FC,Saudi First Division,Saudi Arabia,National
Al-Riyadh,Saudi Second Division Group A,Saudi Arabia,National
Auchinleck,West of Scotland Premier Division,Scotland,Regional
Bonnyrigg Rose,Highland-Lowland Leagues,Scotland,Regional
Hetten,Saudi Second Division Group B,Saudi Arabia,National
